titulo,ano,doi,citacoes,todos_autores,todas_instituicoes,contagem_autores
Tree ring segmentation performance in highly disturbed trees using deep learning,2028,https://doi.org/10.5281/zenodo.17981686,0,"Muñoz-Torrero Manchado, Alberto; Zambrano Suárez, Joe David; Pérez-Martín, Jorge",National University of Distance Education,3
Tree ring segmentation performance in highly disturbed trees using deep learning,2028,https://doi.org/10.5281/zenodo.17974158,0,"Muñoz-Torrero Manchado, Alberto; Zambrano Suárez, Joe David; Pérez-Martín, Jorge",National University of Distance Education,3
Deep q-learning aided k-means clustering protocol for optimizing network lifetime in wireless sensor networks,2028,https://doi.org/10.14288/1.0451106,0,Flynn Dowey,,1
Identification of Meat Contamination using Deep Learning,2026,https://doi.org/10.5281/zenodo.18130810,0,Annual Methodological Archive Research Review,,1
Identification of Meat Contamination using Deep Learning,2026,https://doi.org/10.5281/zenodo.18130809,0,Annual Methodological Archive Research Review,,1
Universal Audio Generation,2026,N/A,0,Antoine Laurent; Sameer Khurana; Anthony Larcher; Dominik Klement; Mickaël Rouvier; Santiago Cuervo; Adel Moumen; Antonio Almudévar; Haroun Elleuch; Peter Gazdik; Dominik Boboš; Juraj Novosad; Hugo Riguidel; Salima Mdhaffar; Radim Kudla; Zili Huang; Elric Zhang; Laura Cristina Alonzo Canul; Ricard Marxer; Tuan Nguyen,Johns Hopkins University; Laboratoire Informatique d'Avignon; Aix-Marseille Université; Mitsubishi Electric (United States); Brno University of Technology; K Lab (United States); Laboratoire d'Informatique de Grenoble; Le Mans Université; Phonexia (Czechia); Universidad de Zaragoza,20
Snow Properties-Aware Deep Learning Framework for Centimeter-Level InSAR DEM Accuracy over Ice Sheets,2026,N/A,0,"Becker Campos, Alexandre; Diez Latteur, Antoine; Bueso Bello, Jose Luis; Braun, Matthias; Rizzoli, Paola",,5
A Novel Deep-Learning-Based Approach for Estimating High-Resolution InSAR Parameters,2026,N/A,0,"Dell Amore, Luca; Carcereri, Daniel; Demir, Begüm; Rizzoli, Paola",,4
Assessing knowledge in policing,2026,N/A,0,Tom Cockcroft; Jennifer Norman; Clare Rawdin,,3
Technology Roadmapping Revisited: Assessing Its Contemporary Relevance and Analytical Maturity,2026,N/A,0,"Karpavice, Justina; Tambo, Torben",College of Business and Technology,2
Deep Learning Based Graph Convolutional Network Using Hand Skeletal Points For Vietnamese Sign Language Classification,2026,N/A,0,Manh-Hung Ha; Duc-Chinh Nguyen; Thai-Kim Dinh; Tran Tien-Tam; Tien Thanh; Oscal Tzyh-Chiang Chen,"Vietnam National University, Hanoi",6
Deep-learning for soil moisture retrieval from Sentinel-1 InSAR data,2026,N/A,0,"Caushi, Andrea",,1
Emotional Anatomy of Fake News: Leveraging Sentiment and Explainable AI for Misinformation Detection,2026,https://doi.org/10.1201/9781003559931-9,0,"Kumar, Akshi; Chandrasekaran, Sanjith; Sangwan, Saurabh Raj",,3
"Digital India and Emerging Technologies (AI, IoT, Blockchain)",2026,https://doi.org/10.5281/zenodo.18162480,0,Girish B. Desale,ACPM Dental College and Hospital,1
Education and the politics of time: Temporal governance in teaching and learning,2026,N/A,0,Ronni Laursen; Miriam Madsen,Finnish Youth Research Society; Aarhus University,2
AcoustoReinforce: Multi-Particle Acoustophoretic Path Planningwith Deep Reinforcement Learning,2026,N/A,0,Pengyuan Wei; Giorgos Christopoulos; Zhouyang Shen; Jincheng Wang; Joshua Mukherjee; Ryuji Hirayama; Sriram Subramanian; Prateek Mittal,,8
Röntgen-CT-ondersteunde datagedreven in-procesmonitoring voor metaal- Laser Powder Bed Fusion,2026,N/A,0,Zhengrui Tao,,1
Partecipazione Pubblica e Apprendimento Organizzativo: il ruolo degli Enti Locali,2026,N/A,0,Lucia Travierso,,1
Robuuste akoestische monitoring van roterende machines,2026,N/A,0,Xian Wu,,1
Artificial intelligence in financial market prediction: advancements in machine learning for stock price forecasting,2026,https://doi.org/10.3389/frai.2025.1696423,0,Arafat Rohan; Md. Deluar Hossen; Md. Nuruzzaman Pranto; Balayet Hossain; Areyfin Mohammed Yoshi; Rakibul Islam,,6
A Personalized Mining Algorithm for Grassroots Network Data Based on Deep Learning,2026,https://doi.org/10.21203/rs.3.rs-8559081/v1,0,Connor Phillips; Ank Agarwal,John Brown University,2
sMRI based Hybrid Framework of Light Weight Deep Learning and Ensemble Machine Learning Model for Autism Spectrum Disorder Detection,2026,https://doi.org/10.1007/s42979-025-04609-7,0,Mayank Mishra; Umesh Chandra Pati,,2
Optimization of Electric Bus Charging and Fleet Sizing Incorporating Traffic Congestion Based on Deep Reinforcement Learning,2026,https://doi.org/10.3390/inventions11010009,0,Hai Yan; Xinyu Sui; Ning Chen; Shuo Pan,Beijing University of Technology,4
Deep Learning–Based Soybean Leaf Disease Classification : A Comprehensive Review,2026,https://doi.org/10.32628/cseit26127,0,Drashti R Rathod; Dr. Padiya Swity R; Ketan Patel,Dharmsinh Desai University,3
Collaborative Dispatch of Power–Transportation Coupled Networks Based on Physics-Informed Priors,2026,https://doi.org/10.3390/electronics15020343,0,Zhizeng Kou; Yingli Wei; Shiyan Luan; Yungang Wu; Hancong Guo; Bo Yang; Su Su,State Grid Corporation of China (China); Beijing Jiaotong University,7
A Practical Hybrid Framework for RUL Prediction in Ion Mill Etching by Integrating Operational States,2026,https://doi.org/10.36001/phmap.2025.v5i1.4487,0,Minamitu,,1
"Yolo-Based Biometric Systems for Online Banking and Mobile Authentication: Implementation, Evaluation, Ablation Study and Comparison with Zoloz",2026,https://doi.org/10.47392/irjaeh.2026.0013,0,S. Selvarani; Dr. M. Mary Shanthi Rani,,2
Deep learning-based computer vision for fish behavior recognition in intensive aquaculture: A comprehensive review,2026,https://doi.org/10.1016/j.cosrev.2026.100896,0,Qingxuan He; Huihui Yu; Hanxiang Qin; Yupeng Mei; Ling Xu; Yingqian Chai; Cuili Li; Lihua Song; Daoliang Li; Yingyi Chen,,10
CNN-Multi-Head Attention Framework for Gearbox Incremental Fault Diagnosis Under Non-Stationary Conditions,2026,https://doi.org/10.36001/phmap.2025.v5i1.4666,0,Hao Zhang; Shunuan Liu; Bin Luo; Konstantinos Gryllias; Chenyu Liu,,5
Unveiling Subsurface Pinnacle Reefs Using Seismic Attributes and Machine Learning-Based Image Segmentation of 3D Seismic Data,2026,https://doi.org/10.2523/iptc-25223-ms,0,M. Khan; R. T. Alohali; S. S. Ali; L. T. Fakhurji; A. S. Altuwayrah,Saudi Aramco (Saudi Arabia),5
A Comprehensive Review on Advances in Large Language Models for Topic Modeling,2026,https://doi.org/10.47392/irjaeh.2026.0011,0,P. Haritha; P. Shanmugavadivu,,2
Intelligent Energy Optimization in Buildings Using Deep Learning and Real-Time Monitoring,2026,https://doi.org/10.3390/en19020379,0,Hiba Darwish; Krupa V Khapper; Corey A. Graves; Balakrishna Gokaraju; Raymond Tesiero,North Carolina Agricultural and Technical State University,5
Sentiment-Augmented RNN Models for Mini-TAIEX Futures Prediction,2026,https://doi.org/10.3390/a19010069,0,Yu-Heng Hsieh; Keng-Pei Lin; Ching-Hsi Tseng; Xiaolong Liu; Shyan-Ming Yuan,Fujian Agriculture and Forestry University; National Yang Ming Chiao Tung University,5
LungPanelNet: a machine learning-based approach for the early prediction and differentiation of non-small cell lung cancer,2026,https://doi.org/10.3389/fonc.2025.1702589,0,Li Zhao; Mei Li; Juju Qi; Lingling Wan,,4
A No-Code Digital Transformation Platform Revolutionizes Petroleum Engineering and Geoscience Training Excellence,2026,https://doi.org/10.2523/iptc-25241-ms,0,Sulaiman L. Sulami; Fatai Anifowose; Thamer Olayet,Saudi Aramco (United States),3
Unsupervised Health Indicator Construction via Deep Reinforcement Learning with Terminal-Dominant Reward,2026,https://doi.org/10.36001/phmap.2025.v5i1.4645,0,Zeqi Wei; Zhibin Zhao; Ruqiang Yan,,3
End-to-end deep learning framework for automated angle estimation in hallux valgus from full-field weight-bearing radiographs,2026,https://doi.org/10.1186/s12880-026-02150-4,0,Qiong Wang; Jun-Hu Wang Jun-Hu Wang; Yan Zhang; Pei-Long Liu; Jie Wang; Jian-Bo Sun; Hong-Mou Zhao,,7
"Evolutionary Ablation: Quantifying Architectural Progress in Rice Disease Diagnosis across Machine Learning, Deep Learning, Computer Vision and Multimodal Explainable A",2026,https://doi.org/10.47392/irjaeh.2026.0010,0,J. Arockia Jackuline Joni; Dr. M. Mary Shanthi Rani,,2
A Rigorous Statistical Benchmark of the Tsetlin Machine: A Novel Rule-Based Method Exceeding SOTA for QSAR Prioritisation,2026,https://doi.org/10.26434/chemrxiv-2026-dsz7v,0,Paul F. A. Clarke; Ivan Čmelo; Runar Helin; Ole‐Christoffer Granmo; Darren Fayne,Dublin City University; University of Agder,5
"Perfecting the Data, Not the Model: Interactive Multi-Volume Deep Learning for Complex 3D Geobody Interpretations",2026,https://doi.org/10.2523/iptc-25179-ea,0,S. Salamoff; E. Holtar,Kitware (United States),2
Lightweight Neural Network for End-to-End Bearing Fault Diagnosis in Multi-Sensor Scenarios,2026,https://doi.org/10.36001/phmap.2025.v5i1.4611,0,Yichao Li; Yanfang Liu; Xiangyang Xu,,3
Adversarial Domain Adaptation Fault Diagnosis Method Based on Self-attention Graph Convolutional Network,2026,https://doi.org/10.36001/phmap.2025.v5i1.4570,0,Bo Zhang; Shuai Su; Ning Ma; Yingxue Wang; Wei Li,,5
"Lightweight Hybrid Deep Learning and Fuzzy-AHP Framework for Predictive Flood Susceptibility Mapping in the Ghaghara River Basin, India: A Data-Driven Approach for Enhanced Spatiotemporal Precision and Risk Prediction",2026,https://doi.org/10.1007/s41748-025-00970-y,0,Priya Mishra; Sanjeev Kr. Prasad,,2
PulmoAI: A Robust Deep Learning Framework for Contactless Respiratory and Cardiovascular Health Assessment Using rPPG,2026,https://doi.org/10.38124/ijisrt/26jan448,0,Barot Raj Dipakkumar; Sathiya Nishit Bharatbhai; Sumara Vijay Rameshbhai; Japan M. Mavani,,4
MetalloDock: Decoding Metalloprotein–Ligand Interactions via Physics-Aware Deep Learning for Metalloprotein Drug Discovery,2026,https://doi.org/10.1021/jacs.5c15876,0,Yan Zhang; Xujun Zhang; Qun Su; Yangyang Zheng; Linlong Jiang; Kai Zhu; Qiaolin Gou; Odin Zhang; Shun Li; Bo Peng; Shaokai Ni; Yushen Du; J. F. Tang; Yu Kang; Chang-Yu Hsieh; Dan Li; Wenteng Chen; Tingjun Hou; Peichen Pan,Zhejiang University; Pharmaceutical Biotechnology (Czechia); Ministry of Education,19
AI-Driven Design Optimization of Engineering Systems: A Case Study on Turboshaft Engines,2026,https://doi.org/10.36001/phmap.2025.v5i1.4325,0,Satish Thokala; Peeyush Pankaj,,2
Enhancing Machine Reliability in Industrial Plants Leveraging Diagnostic and Prognostic Approach to measure reliability improvements,2026,https://doi.org/10.36001/phmap.2025.v5i1.4536,0,Pranay Mathur; Carlo Michelassi; Leonardo Vieri; Gilda Pedoto,,4
Scalable physical deep learning using optical dynamics with state-skipping training,2026,https://doi.org/10.21203/rs.3.rs-8145052/v1,0,Yongbo Zhang; M. Nakajima; Katsuma Inoue; Toshikazu Hashimoto; Yasuo Kuniyoshi; Kohei Nakajima,The University of Tokyo,6
AI-Powered Cannabis Seed Detection and Classification: A Machine Learning Approach for Precision Agriculture,2026,https://doi.org/10.21203/rs.3.rs-8566248/v1,0,M S Binshad; K V Greeshma,Cochin University of Science and Technology,2
Optimized deep learning using hybrid PSO-GA on raw XRD images for accurate classification of material degradation,2026,https://doi.org/10.1186/s44147-025-00847-x,0,Pankaj Beldar; Atulkumar Patil; Gulshan Kumar; Vilas K. Matsagar,,4
