titulo,ano,doi,citacoes,tipo,instituicao_primeiro_autor
MODELING HOSPITALITY AND TOURISM STRATEGIES,2030,https://doi.org/10.7273/000007504,0,article,N/A
"Combating foreign bribery and corruption : an integrated corporate governance, sustainability, and artificial intelligence approach",2028,https://doi.org/10.14288/1.0451113,0,article,N/A
"On the Analysis of Potential Games: From Constraints, Price of Anarchy and Reinforcement Learning to Contrastive Learning",2027,,0,other,N/A
"Entrepreneurial subjectivity, expertise, and speculation in artificial intelligence start-ups in Taipei, Taiwan",2027,https://doi.org/10.21953/lse.00004965,0,dissertation,N/A
Artificial Coherence Intelligence: Behavioral Verification of a New Intelligence Class,2026,https://doi.org/10.5281/zenodo.18112867,0,preprint,N/A
ETHICAL CONSIDERATIONS AND POLICY FRAMEWORKS FOR TEACHING WITH ARTIFICIAL INTELLIGENCE IN SECONDARY SCHOOL SETTINGS,2026,https://doi.org/10.5281/zenodo.18161737,0,article,N/A
Artificial Coherence Intelligence: Behavioral Verification of a New Intelligence Class,2026,https://doi.org/10.5281/zenodo.18112866,0,preprint,N/A
ETHICAL CONSIDERATIONS AND POLICY FRAMEWORKS FOR TEACHING WITH ARTIFICIAL INTELLIGENCE IN SECONDARY SCHOOL SETTINGS,2026,https://doi.org/10.5281/zenodo.18161738,0,article,N/A
"Consciousness as Ontological Prime: A Structural Theory of Life, Coherence, and Synthetic Intelligence",2026,https://doi.org/10.5281/zenodo.18157036,0,article,General Dynamics (United States)
"Consciousness as Ontological Prime: A Structural Theory of Life, Coherence, and Synthetic Intelligence",2026,https://doi.org/10.5281/zenodo.18157035,0,article,General Dynamics (United States)
"Reimagining India 2047: AI, Sustainability and Inclusive Growth",2026,https://doi.org/10.5281/zenodo.18126855,0,book,Govind Ballabh Pant University of Agriculture and Technology
"Reimagining India 2047: AI, Sustainability and Inclusive Growth",2026,https://doi.org/10.5281/zenodo.18126854,0,book,Govind Ballabh Pant University of Agriculture and Technology
Innovations in Electrical Systems and Automation,2026,https://doi.org/10.5281/zenodo.18170160,0,book,Government of the United States of America
Innovations in Electrical Systems and Automation,2026,https://doi.org/10.5281/zenodo.18170161,0,book,Government of the United States of America
DATA-DRIVEN DECISIONS: HOW ANALYTICS IS RESHAPING MARKETING STRATEGY,2026,https://doi.org/10.5281/zenodo.18139045,0,article,Koneru Lakshmaiah Education Foundation
REVOLUTION OR RISK? ASSESSING CHATGPT'S INFLUENCE ON UNDERGRADUATE STUDENTS,2026,https://doi.org/10.5281/zenodo.18139738,0,article,Koneru Lakshmaiah Education Foundation
DATA-DRIVEN DECISIONS: HOW ANALYTICS IS RESHAPING MARKETING STRATEGY,2026,https://doi.org/10.5281/zenodo.18139046,0,article,Koneru Lakshmaiah Education Foundation
REVOLUTION OR RISK? ASSESSING CHATGPT'S INFLUENCE ON UNDERGRADUATE STUDENTS,2026,https://doi.org/10.5281/zenodo.18139739,0,article,Koneru Lakshmaiah Education Foundation
"AI Applicability in Law: Opportunities,Limitations, and Governance in a Hybrid Legal Ecosystem",2026,https://doi.org/10.5281/zenodo.18169951,0,article,BCS — The Chartered Institute for IT
The LaFountaine Brain Paradox (v1.5): Finite Biological Substrates and Unbounded Internal Representational Dynamics,2026,https://doi.org/10.5281/zenodo.17665509,0,report,
The LaFountaine Brain Paradox (v1.5): Finite Biological Substrates and Unbounded Internal Representational Dynamics,2026,https://doi.org/10.5281/zenodo.18156653,0,report,
Human-Centered Artificial Intelligence in Social Care: A Framework for Ethical and Secure Transformation,2026,https://doi.org/10.51219/jaimld/light-nwokocha/616,0,other,N/A
Enhancing Ransomware Detection and Response Using Artificial Intelligence Algorithms,2026,https://doi.org/10.5281/zenodo.18184460,0,article,Polícia de Segurança Pública
Linguistic Justice and Artificial Intelligence,2026,,0,book,N/A
Generative AI in Curriculum Design: Advancing or Undermining Decolonisation Efforts?,2026,,0,article,N/A
Enacting Utopias: A Participatory Design Approach to AI,2026,,0,article,Digital Science (United States)
Interpreting safety : a LLM and STPA approach,2026,,0,other,N/A
"The Ethical Consequences of the ""AI-as-Colleague"" Narrative in Generative Artificial Intelligence: A Business‑Virtue Governance Analysis Based on Policy Texts",2026,https://doi.org/10.17613/sbvbz-k9f07,0,article,Open University of China
"The Ethical Consequences of the ""AI-as-Colleague"" Narrative in Generative Artificial Intelligence: A Business‑Virtue Governance Analysis Based on Policy Texts",2026,https://doi.org/10.17613/p2a4p-er431,0,article,Open University of China
Generative AI and the algorithmic workplace: a bibliometric and conceptual analysis of its impact on organisational decision-making and work design,2026,,0,article,N/A
Transforming Knowledge Management through Synergistic AI-Human Collaboration,2026,,0,article,N/A
Proof of Concept of a Real-Time Fluid Dynamics Model for Immersive Environments Using Artificial Intelligence,2026,,0,article,Science et Ingénierie des Matériaux et Procédés
Evaluating AI Readiness in Foresight Higher Education Programs,2026,https://doi.org/10.5281/zenodo.18093067,0,article,N/A
Evaluating AI Readiness in Foresight Higher Education Programs,2026,https://doi.org/10.5281/zenodo.18093066,0,article,N/A
A Fifth Face? The Evolving Threat of Nuclear Terrorism in the Age of Artificial Intelligence,2026,,0,article,N/A
Digital assistants and consumer law– disruption or innovation?,2026,,0,other,N/A
Why Large Language Models Are Not Artificial Intelligence,2026,https://doi.org/10.5281/zenodo.18187446,0,article,N/A
Why Large Language Models Are Not Artificial Intelligence,2026,https://doi.org/10.5281/zenodo.18179858,0,article,N/A
Why Large Language Models Are Not Artificial Intelligence,2026,https://doi.org/10.5281/zenodo.18179859,0,article,N/A
New Approaches of eXplainable AI: From Video Analytics to Federated Learning,2026,,0,dissertation,N/A
"Role of Artificial Intelligence in Shaping India's Digital Economy after Independence: Achievements, Challenges and the Road Ahead",2026,https://doi.org/10.5281/zenodo.18161547,0,article,N/A
"Digital India and Emerging Technologies (AI, IoT, Blockchain)",2026,https://doi.org/10.5281/zenodo.18162480,0,article,ACPM Dental College and Hospital
Logic-Based Approaches to Scheduling and Their Enhancement through Controlled Natural Languages,2026,,0,dissertation,N/A
Out of the Box 75 Years of the Archive at the Akademie der Künste,2026,,0,other,N/A
The Role of Artificial Intelligence on Economic Modelling: An Analytical Reinterpretation,2026,https://doi.org/10.5281/zenodo.18217207,0,article,University of World Economy and Diplomacy
"Acoustische anomaliedetectie voor industriële machines: robuustheid, generaliseerbaarheid en betrouwbaarheidseigenschappen",2026,,0,article,N/A
Artificial intelligence for automated classification of antinuclear-antibody indirect immunofluorescence patterns,2026,https://doi.org/10.1016/j.ero.2025.12.006,0,article,N/A
"Cost-Integrated AI Meta-Models for Mine-to-Mill Optimisation: Linking Fragmentation, Throughput, and Operating Costs Across the Value Chain",2026,https://doi.org/10.3390/min16010073,0,article,University of Adelaide
Artificial intelligence in financial market prediction: advancements in machine learning for stock price forecasting,2026,https://doi.org/10.3389/frai.2025.1696423,0,article,N/A
Correction: Advancing artificial intelligence ethics in health and genomics: lessons from a public survey in South Korea,2026,https://doi.org/10.3389/fgene.2026.1769636,0,article,N/A
