titulo;ano;todos_autores;autores_unb;revista;citacoes;doi;link
Boosting, bagging, and deep learning for soil-water characteristic curve prediction: A large-scale database study;2026;"Pereira S.A.d.S.; Gitirana G.d.F.N.; Mendes T.A.";Pereira S.A.d.S.;Soil and Tillage Research;0;10.1016/j.still.2025.106946;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105023972351&origin=inward
Structural verification of a gravity dam under seismic action using machine learning;2026;"Mendes N.B.; Pedroso L.J.";Pedroso L.J.;Computers and Structures;0;10.1016/j.compstruc.2025.108077;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105025190616&origin=inward
Enriched Cyber Threat Intelligence Through OSINT: A Methodology for Strengthening Cybersecurity Resilience;2026;"Sousa C.E.d.; Albuquerque R.d.O.; Gondim J.J.C.";"Sousa C.E.d.; Albuquerque R.d.O.; Gondim J.J.C.";Lecture Notes in Networks and Systems;0;10.1007/978-3-031-97119-8_46;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105023089314&origin=inward
Digital Twin-Enabled Quality Assurance Analysis of Metal Manufactured Parts Based on Neural Networks Applied to 3D Meshes;2026;"Cabral J.V.A.; da Cunha Facciolli A.C.; de Carvalho G.C.; Álvares A.J.";"Cabral J.V.A.; da Cunha Facciolli A.C.; de Carvalho G.C.; Álvares A.J.";Lecture Notes in Mechanical Engineering;0;10.1007/978-3-032-07675-5_9;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105023183642&origin=inward
Comparison between machine learning techniques to predict sand/geomembrane interface shear strength;2026;"Villamil A.; Tanga A.T.; Araújo G.L.S.; Junior F.E.";"Villamil A.; Tanga A.T.; Araújo G.L.S.; Junior F.E.";Soils and Rocks;0;10.28927/SR.2026.004425;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105024235120&origin=inward
HoLoSig: Holistic and Local Representation Learning for Online Signature Verification;2026;"Felix de Almeida J.P.; De Almeida Bandeira Macedo L.; Garcia Freitas P.";"Felix de Almeida J.P.; De Almeida Bandeira Macedo L.; Garcia Freitas P.";Lecture Notes in Computer Science;0;10.1007/978-3-032-04630-7_25;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105016903020&origin=inward
Reassessing Gondwana rifting during the Early Cretaceous: biostratigraphic and tectonic implications of the Abaiara Formation, Araripe Basin, northeastern Brazil;2026;"Do Carmo D.A.; Brandão M.V.; Assine M.L.; Antonietto L.S.; Leite A.M.";"Do Carmo D.A.; Antonietto L.S.; Leite A.M.";Journal of the Geological Society;0;10.1144/jgs2025-020;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105012740429&origin=inward
The interface between artificial intelligence and information literacy in higher education: inter-and multidisciplinary contexts, advances and challenges;2025;"Pinheiro M.H.B.; Costa M.R.M.; Vitoriano M.A.V.";"Pinheiro M.H.B.; Vitoriano M.A.V.";Encontros Bibli;1;10.5007/1518-2924.2025.E103105;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105012094738&origin=inward
Antibiotic Resistance Crisis: From Bacterial Bioprospecting to Artificial Intelligence;2025;"Cunha-Ferreira I.C.; Vizzotto C.S.; Peixoto J.; Krüger R.H.";"Cunha-Ferreira I.C.; Vizzotto C.S.; Peixoto J.; Krüger R.H.";Environmental Microbiology Reports;0;10.1111/1758-2229.70267;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105025404326&origin=inward
The current landscape of artificial intelligence in computational histopathology for cancer diagnosis;2025;"Tiwari A.; Ghose A.; Hasanova M.; Faria S.S.; Mohapatra S.; Adeleke S.; Boussios S.";Faria S.S.;Discover Oncology;6;10.1007/s12672-025-02212-z;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105001646895&origin=inward
Assessing ChatGPT in digital education: A case study on student perception;2025;de Oliveira D.;de Oliveira D.;Digital Engineering;1;10.1016/j.dte.2025.100067;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105016454825&origin=inward
Automated identification of spotted-fever tick vectors using convolutional neural networks;2025;"Gomes I.R.C.; Miranda V.L.; Leal J.F.C.; Oliveira I.P.; Silva P.J.; Bitencourth K.; Rodrigues C.M.; Siqueira L.R.; Labruna M.B.; Gazeta G.S.; Amorim M.; Gurgel-Gonçalves R.";"Gomes I.R.C.; Miranda V.L.; Leal J.F.C.; Oliveira I.P.; Gurgel-Gonçalves R.";Medical and Veterinary Entomology;1;10.1111/mve.12822;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105009831294&origin=inward
Eixão-UAM: LLM-assisted iterative design of a low-altitude urban air mobility corridor in Brasilia;2025;"Weigang L.; Maia J.A.; Stenzel E.; Siefert L.R.";"Weigang L.; Maia J.A.; Stenzel E.; Siefert L.R.";Frontiers of Information Technology and Electronic Engineering;0;10.1631/FITEE.2500541;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105024007347&origin=inward
The Use of Industry 4.0 and 5.0 Technologies in the Transformation of Food Services: An Integrative Review;2025;"Cantarelli da Silva R.; Bacharini Lima L.; Batistela dos Santos E.; Akutsu R.d.C.";"Cantarelli da Silva R.; Bacharini Lima L.; Akutsu R.d.C.";Foods;0;10.3390/foods14244320;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105026061547&origin=inward
A Machine Learning Pipeline for Automated Bolus Segmentation and Area Measurement in Swallowing Videofluoroscopy Images of an Infant Pig Model;2025;"Sarmet M.; Kaczmarek E.; Fauveau A.; Steer K.; Velasco A.A.; Smith A.; Kennedy M.; Shideler H.; Wallace S.; Stroud T.; Blilie M.; Mayerl C.J.";Sarmet M.;Dysphagia;1;10.1007/s00455-025-10829-z;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105003780171&origin=inward
Students and Artificial Intelligence: a comparative study of creative responses to environmental problems;2025;"Bicalho-Rodrigues M.; Ruiz-Melero M.J.; Sainz-Gómez M.; Bermejo R.; Chagas-Ferreira J.; Kotz S.";"Bicalho-Rodrigues M.; Chagas-Ferreira J.; Kotz S.";Revista De Investigacion En Educacion;0;10.35869/reined.v23i2.6350;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105025912343&origin=inward
Paradox of poetic intent in back-translation: evaluating the quality of large language models in Chinese translation;2025;"Weigang L.; Brom P.C.";Weigang L.;Frontiers of Information Technology and Electronic Engineering;0;10.1631/FITEE.2500298;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105025447748&origin=inward
Identifying High-Potential Zones for Iron Mineralization in Bahia, Brazil, Using a Spectral Angle Mapper–Random Forest Integrated Framework;2025;"Franca-Rocha R.; Souza C.M.; Vasconcelos R.N.; Souza-Filho P.W.M.; de Almeida T.; Franca-Rocha W.J.S.";de Almeida T.;Minerals;0;10.3390/min15111119;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105023054219&origin=inward
Bibliography of the use of artificial intelligence in the library;2025;da Cunha M.B.;da Cunha M.B.;Revista Digital De Biblioteconomia E Ciencia Da Informacao;0;10.20396/rdbci.v24i00.8680239;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105023374681&origin=inward
Improving Weld Stability in Gas Metal Arc Welding: A Data-Driven and Machine Learning Approach;2025;"Puñales E.M.M.; Bestard G.A.; Alfaro S.C.A.";"Puñales E.M.M.; Bestard G.A.; Alfaro S.C.A.";Crystals;0;10.3390/cryst15100895;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105020016023&origin=inward
